class,support,tp,precision,recall,f1,fpr
BENIGN,454264,443215,0.8816,0.9757,0.9263,0.5348
Bot,391,0,0.0000,0.0000,0.0000,0.0000
DDoS,25605,15335,0.6132,0.5989,0.6060,0.0179
DoS GoldenEye,2059,284,0.7208,0.1379,0.2316,0.0002
DoS Hulk,46025,29737,0.8362,0.6461,0.7290,0.0112
DoS Slowhttptest,1100,1,0.0034,0.0009,0.0014,0.0005
DoS slowloris,1159,22,0.1333,0.0190,0.0332,0.0003
FTP-Patator,1587,0,0.0000,0.0000,0.0000,0.0000
Other_Attack,13,0,0.0000,0.0000,0.0000,0.0000
PortScan,31761,481,0.3416,0.0151,0.0290,0.0017
SSH-Patator,1179,0,0.0000,0.0000,0.0000,0.0000
Web Attack Brute Force,301,0,0.0000,0.0000,0.0000,0.0000
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0000
