class,support,tp,precision,recall,f1,fpr
BENIGN,454264,437969,0.9437,0.9641,0.9538,0.2346
Bot,391,0,0.0000,0.0000,0.0000,0.0000
DDoS,25605,16663,0.5542,0.6508,0.5986,0.0248
DoS GoldenEye,2059,0,0.0000,0.0000,0.0000,0.0000
DoS Hulk,46025,23442,0.9197,0.5093,0.6556,0.0039
DoS Slowhttptest,1100,0,0.0000,0.0000,0.0000,0.0000
DoS slowloris,1159,0,0.0000,0.0000,0.0000,0.0000
FTP-Patator,1587,0,0.0000,0.0000,0.0000,0.0000
Other_Attack,13,0,0.0000,0.0000,0.0000,0.0000
PortScan,31761,31519,0.6862,0.9924,0.8114,0.0270
SSH-Patator,1179,0,0.0000,0.0000,0.0000,0.0000
Web Attack Brute Force,301,0,0.0000,0.0000,0.0000,0.0000
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0000
