class,support,tp,precision,recall,f1,fpr
BENIGN,454264,444718,0.8821,0.9790,0.9280,0.5339
Bot,391,0,0.0000,0.0000,0.0000,0.0000
DDoS,25605,15256,0.6355,0.5958,0.6150,0.0162
DoS GoldenEye,2059,274,0.7425,0.1331,0.2257,0.0002
DoS Hulk,46025,29826,0.8463,0.6480,0.7340,0.0104
DoS Slowhttptest,1100,2,0.0081,0.0018,0.0030,0.0004
DoS slowloris,1159,25,0.1488,0.0216,0.0377,0.0003
FTP-Patator,1587,0,0.0000,0.0000,0.0000,0.0000
Other_Attack,13,0,0.0000,0.0000,0.0000,0.0000
PortScan,31761,517,0.3709,0.0163,0.0312,0.0016
SSH-Patator,1179,0,0.0000,0.0000,0.0000,0.0000
Web Attack Brute Force,301,0,0.0000,0.0000,0.0000,0.0000
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0000
