class,support,tp,precision,recall,f1,fpr
BENIGN,454264,446349,0.8820,0.9826,0.9296,0.5366
Bot,391,0,0.0000,0.0000,0.0000,0.0000
DDoS,25605,15266,0.6725,0.5962,0.6321,0.0138
DoS GoldenEye,2059,298,0.7621,0.1447,0.2433,0.0002
DoS Hulk,46025,29753,0.8602,0.6465,0.7382,0.0093
DoS Slowhttptest,1100,4,0.0162,0.0036,0.0059,0.0004
DoS slowloris,1159,22,0.1538,0.0190,0.0338,0.0002
FTP-Patator,1587,0,0.0000,0.0000,0.0000,0.0000
Other_Attack,13,0,0.0000,0.0000,0.0000,0.0000
PortScan,31761,619,0.4329,0.0195,0.0373,0.0015
SSH-Patator,1179,0,0.0000,0.0000,0.0000,0.0000
Web Attack Brute Force,301,0,0.0000,0.0000,0.0000,0.0000
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0000
