class,support,tp,precision,recall,f1,fpr
BENIGN,454264,453921,0.9995,0.9992,0.9994,0.0021
Bot,391,249,0.8861,0.6368,0.7411,0.0001
DDoS,25605,25594,0.9998,0.9996,0.9997,0.0000
DoS GoldenEye,2059,2057,0.9961,0.9990,0.9976,0.0000
DoS Hulk,46025,45970,0.9980,0.9988,0.9984,0.0002
DoS Slowhttptest,1100,1095,0.9936,0.9955,0.9946,0.0000
DoS slowloris,1159,1150,0.9974,0.9922,0.9948,0.0000
FTP-Patator,1587,1586,1.0000,0.9994,0.9997,0.0000
Other_Attack,13,5,0.8333,0.3846,0.5263,0.0000
PortScan,31761,31744,0.9931,0.9995,0.9963,0.0004
SSH-Patator,1179,1171,1.0000,0.9932,0.9966,0.0000
Web Attack Brute Force,301,283,0.7040,0.9402,0.8051,0.0002
Web Attack XSS,131,11,0.3929,0.0840,0.1384,0.0000
