class,support,tp,precision,recall,f1,fpr
BENIGN,454264,443709,0.8817,0.9768,0.9268,0.5350
Bot,391,0,0.0000,0.0000,0.0000,0.0000
DDoS,25605,15224,0.6206,0.5946,0.6073,0.0172
DoS GoldenEye,2059,314,0.7889,0.1525,0.2556,0.0001
DoS Hulk,46025,29829,0.8399,0.6481,0.7317,0.0109
DoS Slowhttptest,1100,1,0.0036,0.0009,0.0015,0.0005
DoS slowloris,1159,34,0.1965,0.0293,0.0511,0.0002
FTP-Patator,1587,0,0.0000,0.0000,0.0000,0.0000
Other_Attack,13,0,0.0000,0.0000,0.0000,0.0000
PortScan,31761,522,0.3671,0.0164,0.0315,0.0017
SSH-Patator,1179,0,0.0000,0.0000,0.0000,0.0000
Web Attack Brute Force,301,0,0.0000,0.0000,0.0000,0.0000
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0000
