class,support,tp,precision,recall,f1,fpr
BENIGN,454264,389496,0.9632,0.8574,0.9072,0.1338
Bot,391,0,0.0000,0.0000,0.0000,0.0001
DDoS,25605,6941,0.2482,0.2711,0.2591,0.0389
DoS GoldenEye,2059,24,0.0340,0.0117,0.0174,0.0012
DoS Hulk,46025,41561,0.6042,0.9030,0.7240,0.0524
DoS Slowhttptest,1100,0,0.0000,0.0000,0.0000,0.0015
DoS slowloris,1159,0,0.0000,0.0000,0.0000,0.0001
FTP-Patator,1587,756,0.4191,0.4764,0.4459,0.0019
Other_Attack,13,0,0.0000,0.0000,0.0000,0.0001
PortScan,31761,30955,0.5087,0.9746,0.6685,0.0560
SSH-Patator,1179,0,0.0000,0.0000,0.0000,0.0001
Web Attack Brute Force,301,0,0.0000,0.0000,0.0000,0.0000
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0000
